0|-1|-62|12|16
1|1|47|27|23
2|-1|-75|21|4
3|1|93|15|11
4|1|14|18|12
5|-1|-117|9|9
6|-1|-71|0|25
7|1|-14|9|27
8|1|49|16|27
9|-1|-25|21|3
0|-1|-16|11|25
1|-1|-21|14|19
2|-1|-88|11|8
3|-1|-116|21|9
4|1|106|15|14
5|1|121|20|22
6|1|106|22|11
7|1|122|13|10
8|1|89|26|0
9|-1|-26|3|23
0|1|42|23|9
1|-1|-9|24|3
2|1|30|15|9
3|1|95|27|1
4|1|29|26|27
5|1|126|12|25
6|-1|-31|19|8
7|-1|-65|11|9
8|1|97|21|8
9|1|28|27|3
0|-1|-5|17|25
1|1|35|24|16
2|1|64|5|0
3|-1|-89|25|20
4|1|120|9|6
5|1|106|13|15
6|1|71|20|0
7|1|59|20|9
8|1|64|25|22
9|-1|-42|12|1
0|-1|-80|23|18
1|1|122|25|19
2|1|13|10|17
3|-1|-11|16|18
4|-1|-76|22|27
5|-1|-1|26|24
6|-1|-19|9|22
7|-1|-69|9|16
8|1|65|14|14
9|1|93|1|22
0|-1|-40|27|11
1|1|52|20|6
2|-1|-119|16|22
3|-1|-124|2|23
4|-1|-110|5|9
5|-1|-60|22|24
6|-1|-46|8|15
7|1|118|0|0
8|1|67|13|27
9|-1|-41|17|26
0|-1|-110|21|0
1|-1|-120|23|13
2|1|59|10|19
3|-1|-4|22|5
4|1|26|1|24
5|1|58|20|24
6|-1|-86|2|16
7|-1|-52|23|2
8|-1|-89|27|6
9|-1|-122|5|10
0|1|103|22|2
1|1|7|4|23
2|-1|-25|11|2
3|-1|-48|8|5
4|-1|-19|9|15
5|-1|-70|24|17
6|-1|-84|0|5
7|-1|-100|5|9
8|1|16|15|16
9|-1|-82|23|9
0|-1|-70|11|1
1|-1|-32|1|3
2|1|8|0|6
3|1|17|12|20
4|-1|-25|0|13
5|-1|-121|14|16
6|1|98|1|26
7|1|93|3|3
8|1|95|21|20
9|1|16|11|24
0|-1|-109|16|22
1|-1|-93|24|14
2|-1|-43|11|26
3|1|95|10|8
4|-1|-39|5|14
5|1|56|13|10
6|1|11|25|24
7|-1|-25|13|0
8|-1|-84|16|6
9|-1|-122|2|4
0|1|48|14|3
1|-1|-1|11|20
2|1|126|13|3
3|1|39|5|22
4|-1|-88|7|16
5|1|75|20|13
